2499	0
2500	0
2502	0
2504	0
2505	0
2506	2
2508	1
2509	1
2510	2
2511	0
2512	2
2514	0
2515	0
2516	0
2517	2
2518	0
2519	2
2520	0
2521	2
2522	0
2523	1
2524	2
2527	0
2528	2
2529	0
2530	2
2531	2
2534	1
2535	1
2537	2
2538	0
2539	0
2540	0
2542	2
2543	0
2545	2
2548	2
2549	0
2550	2
2551	0
2552	2
2554	2
2555	0
2556	2
2557	1
2558	0
2559	1
2560	0
2563	0
2564	0
2566	2
2567	2
2568	2
2569	0
2570	2
2571	1
2572	2
2573	2
2574	0
2576	0
2577	2
2579	0
2581	0
2582	2
2583	0
2584	0
2585	0
2586	0
2590	1
2591	0
2592	2
2593	2
2594	2
2595	2
2596	0
2597	2
2598	1
2599	2
2600	2
2601	2
2602	0
2603	2
2604	0
2608	1
2610	2
2611	2
2612	2
2613	0
2614	0
2615	0
2616	0
2618	1
2619	2
2620	0
2621	0
2622	2
2623	0
2624	0
2625	1
2626	2
2627	2
2628	2
2630	0
2631	2
2633	2
2634	1
2635	2
2637	2
2638	0
2639	2
2640	1
2642	0
2643	0
2646	2
2647	0
2648	0
2649	1
2650	1
2651	0
2652	2
2653	1
2654	2
2655	0
2656	0
2657	0
2658	2
2659	2
2661	2
2662	1
2663	0
2664	1
2667	0
2668	2
2669	0
2670	0
2671	1
2673	2
2674	0
2675	2
2676	1
2677	0
2678	1
2679	0
2681	0
2682	1
2683	1
2686	0
2687	0
2688	0
2691	2
2692	1
2693	2
2694	1
2695	0
2696	1
2697	1
2698	2
2699	0
2700	2
2701	0
2703	2
2706	1
2707	2
2711	0
2712	0
2714	0
2715	2
2716	0
2717	2
2718	1
2719	1
2720	0
2721	2
2723	1
2725	2
2726	0
2727	0
2728	2
2729	2
2731	1
2733	2
2734	1
2737	2
2738	2
2741	2
2743	2
2745	2
2747	2
2748	0
2749	0
2751	2
2752	0
2753	1
2754	2
2756	1
2757	2
2758	1
2759	0
2760	2
2761	0
2762	2
2763	2
2764	2
2765	0
2766	1
2768	1
2769	0
2770	2
2771	0
2772	0
2774	2
2775	0
2777	0
2779	0
2781	1
2782	0
2783	0
2784	2
2785	0
2786	2
2787	2
2788	2
2789	2
2790	0
2791	0
2792	0
2793	2
2794	0
2795	0
2796	2
2797	2
2798	2
2799	1
2800	2
2802	1
2803	2
2804	1
2806	0
2808	0
2809	2
2810	1
2811	2
2812	2
2813	0
2814	2
2815	1
2816	2
2817	2
2820	0
2821	1
2822	2
2823	2
2824	0
2825	0
2826	1
2827	0
2828	1
2829	0
2830	0
2831	0
2832	2
2833	0
2834	2
2836	1
2837	2
2838	0
2839	1
2841	0
2842	0
2843	1
2844	0
2845	1
2846	1
2847	0
2848	2
2849	2
2850	2
2852	0
2854	2
2855	2
2856	1
2858	0
2859	0
2860	2
2862	2
2863	2
2864	2
2866	2
2867	2
2870	0
2871	1
2872	0
